id,source,author,rating,review_text,published_at,created_at,sentiment,category,severity,risk_score,summary,recommendation,suggested_response,analysis_status,action_status,analysis_provider
r001,Google,Алия К.,5,"Очень внимательный персонал, помогли выбрать подходящий тариф. Спасибо!",2026-09-06T09:15:00Z,2026-09-06T10:00:00Z,positive,staff_behavior,low,8,Customer praises attentive staff and useful advice.,Share the feedback with the team and maintain the service standard.,"Алия, спасибо за тёплый отзыв! Рады, что команда помогла подобрать подходящий вариант.",done,resolved,demo
r002,2GIS,Нурлан,4,"Жалпы бәрі жақсы, бірақ кезек шамамен 15 минут болды.",2026-09-05T14:20:00Z,2026-09-05T15:00:00Z,neutral,waiting_time,low,24,Customer is satisfied overall but notes a 15-minute wait.,Monitor queue times during this period.,"Нұрлан, пікіріңізге рақмет! Күту уақытын қысқарту үшін жұмыс істейміз.",done,pending_review,demo
r003,Facebook,Ирина,1,"Уже третий день никто не отвечает. Деньги списали дважды, вопрос не решён!",2026-09-05T08:05:00Z,2026-09-05T08:30:00Z,negative,response_time,critical,96,Customer reports no response for three days and a duplicate charge.,Urgently contact the customer and investigate both the charge and support delay.,"Ирина, приносим извинения. Пожалуйста, отправьте номер обращения в личные сообщения — мы срочно проверим списание и свяжемся с вами.",done,pending_review,demo
r004,Instagram,aliya_home,5,"Сервис супер! Быстро ответили в директ и всё объяснили қазақша.",2026-09-04T18:40:00Z,2026-09-04T19:00:00Z,positive,communication,low,6,Customer praises fast bilingual communication.,Maintain fast bilingual social support.,"Спасибо! Бізге жылы пікір қалдырғаныңызға қуаныштымыз.",done,resolved,demo
r005,Google,Сергей П.,3,"Обычный сервис. Цена выше, чем ожидал, но сделали нормально.",2026-09-03T12:00:00Z,2026-09-03T13:00:00Z,neutral,pricing,medium,38,Customer finds the service acceptable but pricing higher than expected.,Make pricing and scope clearer before purchase.,"Сергей, спасибо за обратную связь. Учтём замечание и будем яснее объяснять стоимость заранее.",done,pending_review,demo
r006,2GIS,Мадина,2,"Менеджер разговаривал резко и перебивал. Мұндай қарым-қатынас ұнамады.",2026-09-02T10:30:00Z,2026-09-02T11:00:00Z,negative,staff_behavior,high,82,Customer reports rude and interruptive staff behavior.,Review the interaction and coach the employee on respectful communication.,"Мадина, кешірім сұраймыз. Жағдайды тексеру үшін бару уақыты мен байланыс дерегіңізді жеке хабарламаға жіберіңізші.",done,pending_review,demo
r007,Facebook,Виктор,4,"Ответили не сразу, зато проблему решили за один звонок.",2026-09-01T16:10:00Z,2026-09-01T17:00:00Z,positive,service_quality,low,18,Customer notes a slight delay but successful first-call resolution.,Preserve first-call resolution and improve initial response time.,"Виктор, благодарим за отзыв! Рады, что вопрос удалось решить за один звонок.",done,resolved,demo
r008,Instagram,dana.kz,1,"Тауар сынып келді, екі апта болды ауыстырмай жатыр. Ешкім нақты жауап бермейді.",2026-08-31T11:45:00Z,2026-08-31T12:00:00Z,negative,product_quality,critical,94,Product arrived damaged and replacement has stalled for two weeks.,Escalate replacement immediately and assign one accountable contact.,"Дана, бұл жағдай үшін кешірім сұраймыз. Тапсырыс нөмірін жеке хабарламаға жіберіңіз — ауыстыруды шұғыл бақылауға аламыз.",done,pending_review,demo
r009,Google,Елена,5,"Всё чисто, быстро и вежливо. Вернусь снова.",2026-08-30T09:20:00Z,2026-08-30T10:00:00Z,positive,service_quality,low,5,Customer praises cleanliness speed and courtesy.,Maintain current service standards.,"Елена, спасибо! Будем рады видеть вас снова.",done,resolved,demo
r010,2GIS,Арман,3,"Қызмет жақсы, парковка табу қиын болды.",2026-08-29T15:35:00Z,2026-08-29T16:00:00Z,neutral,other,low,22,Customer likes the service but had difficulty parking.,Add clearer parking directions to location information.,"Арман, рақмет! Парковка туралы ақпаратты нақтылауды қарастырамыз.",done,pending_review,demo
r011,Facebook,Ольга,2,"Обещали перезвонить вечером, но связались только на следующий день.",2026-08-28T13:15:00Z,2026-08-28T14:00:00Z,negative,response_time,medium,64,Promised callback was delayed until the next day.,Audit callback commitments and introduce reminders.,"Ольга, извините за задержку. Проверим, почему обещанный звонок не состоялся вовремя.",done,pending_review,demo
r012,Instagram,temirlan88,5,"Кеңесші бәрін түсінікті айтты, оформление быстрое.",2026-08-27T17:25:00Z,2026-08-27T18:00:00Z,positive,communication,low,9,Customer praises clear advice and quick processing.,Keep using clear bilingual explanations.,"Рақмет! Қызмет көрсету сізге ұнағанына қуаныштымыз.",done,resolved,demo
r013,Google,Андрей,2,"Ждал почти час, хотя был записан заранее. Организация слабая.",2026-08-25T08:50:00Z,2026-08-25T09:20:00Z,negative,waiting_time,high,78,Customer waited nearly an hour despite an appointment.,Investigate scheduling capacity and notify customers proactively about delays.,"Андрей, приносим извинения за ожидание. Хотим разобраться — сообщите, пожалуйста, дату и время записи.",done,pending_review,demo
r014,2GIS,Сауле,5,"Өте ыңғайлы, қызметкерлер сыпайы. Барлығы ұнады.",2026-08-23T12:10:00Z,2026-08-23T13:00:00Z,positive,staff_behavior,low,4,Customer praises convenience and polite staff.,Recognize the team and sustain the experience.,"Сәуле, жылы пікіріңізге көп рақмет!",done,resolved,demo
r015,Facebook,Роман,3,"Информацию на сайте и по телефону дали разную. В итоге разобрались.",2026-08-21T16:00:00Z,2026-08-21T17:00:00Z,neutral,communication,medium,42,Customer received inconsistent information across channels.,Align website and call-center guidance.,"Роман, спасибо, что указали на расхождение. Проверим информацию во всех каналах.",done,pending_review,demo
r016,Instagram,zhanna_a,4,"Красиво и удобно, только музыка слишком громкая.",2026-08-20T19:30:00Z,2026-08-20T20:00:00Z,positive,other,low,14,Customer likes the experience but finds the music loud.,Review ambient volume during busy hours.,"Жанна, спасибо за отзыв! Учтём замечание о громкости музыки.",done,resolved,demo
r017,Google,Бекзат,1,"После ремонта проблема вернулась через два дня. Повторно принимать отказались.",2026-08-18T10:05:00Z,2026-08-18T10:30:00Z,negative,service_quality,critical,93,Repair failed after two days and follow-up service was refused.,Escalate for urgent warranty review and contact the customer.,"Бекзат, приносим извинения. Отправьте номер заказа — мы срочно пересмотрим обращение по гарантии.",done,pending_review,demo
r018,2GIS,Катя,4,"Хорошие специалисты, запись перенесли один раз, предупредили заранее.",2026-08-16T11:10:00Z,2026-08-16T12:00:00Z,positive,communication,low,16,Customer appreciates skilled staff and advance notice of rescheduling.,Maintain proactive schedule communication.,"Катя, благодарим за понимание и высокую оценку!",done,resolved,demo
r019,Facebook,Асем,2,"Бағасы кассада сайттағыдан қымбат болды. Неге алдын ала айтпайсыздар?",2026-08-14T14:45:00Z,2026-08-14T15:00:00Z,negative,pricing,high,80,Checkout price was higher than the website price without warning.,Correct price consistency and review the transaction with the customer.,"Асем, кешірім сұраймыз. Чек пен тауар деректерін жіберсеңіз, баға айырмасын бірден тексереміз.",done,pending_review,demo
r020,Instagram,mira_life,5,"Спасибо консультанту Айгерим — терпеливо ответила на все вопросы.",2026-08-12T09:40:00Z,2026-08-12T10:00:00Z,positive,staff_behavior,low,7,Customer praises a consultant for patient support.,Recognize the employee and reinforce this behavior.,"Спасибо за добрые слова! Обязательно передадим Айгерим вашу благодарность.",done,resolved,demo
r021,Google,Дмитрий,3,"Результат нормальный, но пришлось несколько раз уточнять сроки.",2026-08-10T13:20:00Z,2026-08-10T14:00:00Z,neutral,communication,medium,40,Customer is satisfied with the result but lacked clear timing updates.,Provide proactive milestone and timing updates.,"Дмитрий, спасибо. Улучшим информирование о сроках на каждом этапе.",done,pending_review,demo
r022,2GIS,Айдана,1,"Екі сағат күттім, қызметкер өтінішімді жоғалтып алған. Өте нашар.",2026-08-08T08:30:00Z,2026-08-08T09:00:00Z,negative,waiting_time,critical,97,Customer waited two hours after staff lost the request.,Urgently investigate the lost request and prevent recurrence with queue controls.,"Айдана, болған жағдай үшін кешірім сұраймыз. Деректеріңізді жеке жіберіңіз, мәселені басшылық деңгейінде тексереміз.",done,pending_review,demo
r023,Facebook,Марина,5,"Вопрос в комментариях заметили быстро и помогли в личке.",2026-08-06T17:50:00Z,2026-08-06T18:00:00Z,positive,response_time,low,8,Customer praises quick social response and private support.,Maintain social monitoring response times.,"Марина, спасибо! Рады, что смогли быстро помочь.",done,resolved,demo
r024,Instagram,erkebulan,3,"Жаман емес, бірақ инструкция тек орысша екен.",2026-08-04T12:05:00Z,2026-08-04T13:00:00Z,neutral,communication,medium,43,Customer finds the service acceptable but instructions lack Kazakh.,Provide customer instructions in Kazakh and Russian.,"Пікіріңізге рақмет. Қазақ тіліндегі нұсқаулықты қолжетімді ету бойынша жұмыс істейміз.",done,pending_review,demo
r025,Google,Татьяна,2,"Сотрудник спорил вместо того, чтобы выслушать. Проблему потом решил руководитель.",2026-08-01T10:15:00Z,2026-08-01T11:00:00Z,negative,staff_behavior,high,77,Employee argued with the customer before a manager resolved the issue.,Coach frontline staff on de-escalation and listening.,"Татьяна, извините за некорректное общение. Спасибо, что дали нам возможность решить вопрос.",done,approved,demo
r026,2GIS,Руслан,5,"Быстро, без лишних бумаг. Рахмет!",2026-07-29T15:40:00Z,2026-07-29T16:00:00Z,positive,service_quality,low,5,Customer praises a fast low-friction process.,Maintain the streamlined process.,"Руслан, спасибо за оценку! Қуаныштымыз.",done,resolved,demo
r027,Facebook,Гульмира,4,"В целом довольна. Хотелось бы больше способов оплаты.",2026-07-25T11:30:00Z,2026-07-25T12:00:00Z,positive,other,low,18,Customer is satisfied and requests more payment options.,Assess demand for additional payment methods.,"Гульмира, спасибо! Передадим предложение о способах оплаты команде.",done,pending_review,demo
r028,Instagram,samat_pro,2,"В директе отвечают шаблоном и не читают вопрос. Потратил полдня.",2026-07-21T16:25:00Z,2026-07-21T17:00:00Z,negative,communication,high,81,Customer reports irrelevant template responses and substantial time loss.,Review social support quality and require agents to address the actual question.,"Самат, приносим извинения за невнимательный ответ. Пришлите переписку в личные сообщения — разберём обращение.",done,rejected,demo
r029,Google,Лариса,5,"Качественно и в оговоренный срок. Рекомендую.",2026-07-18T09:10:00Z,2026-07-18T10:00:00Z,positive,service_quality,low,4,Customer praises quality and on-time delivery.,Maintain delivery and quality controls.,"Лариса, благодарим за рекомендацию!",done,resolved,demo
r030,2GIS,Диас,3,"Цена средняя, обслуживание тоже. Ешқандай проблема болған жоқ.",2026-07-14T13:55:00Z,2026-07-14T14:00:00Z,neutral,service_quality,low,25,Customer describes an average service without problems.,Monitor for opportunities to make the experience more distinctive.,"Диас, пікіріңізге рақмет! Келесі жолы сізді одан да жақсы қызметпен қуантамыз.",done,pending_review,demo
r031,Facebook,Антон,1,"Заявку закрыли без решения и перестали отвечать. Скриншоты есть.",2026-07-10T08:45:00Z,2026-07-10T09:00:00Z,negative,response_time,critical,95,Case was closed unresolved and communication stopped.,Reopen and audit the case urgently with management ownership.,"Антон, приносим извинения. Отправьте номер заявки в личные сообщения — восстановим обращение и проведём проверку.",done,approved,demo
r032,Instagram,aigerim_s,5,"Керемет қызмет, бәрі түсінікті әрі тез болды.",2026-07-06T18:10:00Z,2026-07-06T19:00:00Z,positive,service_quality,low,3,Customer praises a clear and fast service.,Maintain the current customer journey.,"Айгерім, жоғары бағаңызға рақмет!",done,resolved,demo
r033,Google,Михаил,4,"Удобное расположение, сотрудники вежливые. Небольшая очередь.",2026-07-02T12:40:00Z,2026-07-02T13:00:00Z,positive,waiting_time,low,15,Customer likes the location and staff despite a small queue.,Continue monitoring queue length.,"Михаил, спасибо за отзыв и высокую оценку!",done,resolved,demo
r034,2GIS,Жанар,2,"Қоңырауға ұзақ жауап бермеді, кейін менеджер мәселені шешті.",2026-06-27T10:20:00Z,2026-06-27T11:00:00Z,negative,response_time,medium,66,Customer experienced a long phone response delay but later resolution.,Measure call pickup time and adjust staffing.,"Жанар, күткеніңіз үшін кешірім сұраймыз. Қоңырауларға жауап беру уақытын жақсартамыз.",done,resolved,demo
r035,Facebook,Наталья,5,"Очень удобно, что напомнили о записи заранее.",2026-06-20T15:05:00Z,2026-06-20T16:00:00Z,positive,communication,low,6,Customer values the advance appointment reminder.,Continue proactive reminders.,"Наталья, спасибо! Рады, что напоминание было полезным.",done,resolved,demo
r036,Instagram,kanat_01,3,"Заказ получил, бірақ упаковка помятая. Ішіндегі тауар бүтін.",2026-06-14T11:45:00Z,2026-06-14T12:00:00Z,neutral,product_quality,medium,39,Packaging was damaged though the product was intact.,Review packaging and delivery handling.,"Қанат, хабарлағаныңызға рақмет. Қаптама сапасын логистика командасымен тексереміз.",done,pending_review,demo
r037,Google,Вера,2,"Скрытая комиссия появилась только при оплате.",2026-06-08T09:30:00Z,2026-06-08T10:00:00Z,negative,pricing,high,84,Customer reports a fee disclosed only at payment.,Audit fee disclosure and contact the customer with a clear explanation.,"Вера, приносим извинения за неясные условия. Пожалуйста, пришлите детали операции — проверим начисление.",done,pending_review,demo
r038,2GIS,Ермек,4,"Маман жақсы түсіндірді, нәтиже көңілімнен шықты.",2026-06-01T14:15:00Z,2026-06-01T15:00:00Z,positive,service_quality,low,8,Customer praises the explanation and result.,Maintain consultative service quality.,"Ермек, жақсы пікіріңізге рақмет!",done,resolved,demo
r039,Facebook,Светлана,3,"В помещении чисто, но терминал оплаты не работал.",2026-05-24T10:50:00Z,2026-05-24T11:00:00Z,neutral,other,medium,35,Customer notes cleanliness but a payment terminal outage.,Check terminal reliability and offer clear alternatives.,"Светлана, спасибо за сигнал. Проверим терминал и доступность альтернативной оплаты.",done,pending_review,demo
r040,Instagram,aziza.kz,5,"Бірінші рет келдім, персонал очень доброжелательный. Ұсынамын!",2026-05-15T17:35:00Z,2026-05-15T18:00:00Z,positive,staff_behavior,low,5,First-time customer praises friendly staff and recommends the company.,Share recognition with the team.,"Азиза, ұсынысыңыз бен жылы сөзіңізге көп рақмет!",done,resolved,demo

